model,model_label,Date,n_available,n_selected,strategy_return,strategy_gross_return,prediction_weighted_return,prediction_weighted_gross_return,equal_weight_return,hs300_return,excess_equal,excess_hs300
decision_tree,决策树,2022-06-30,4260,20,-0.008447615307354767,-0.006871185860000004,-0.00849077973719937,-0.006914418915243855,-0.09401893564197851,-0.15249517186129113,0.08557132033462374,0.14404755655393636
linear_regression,线性回归,2022-06-30,4260,20,-0.10123638533596116,-0.09980747704,-0.10119991723459237,-0.09977095095945655,-0.09401893564197851,-0.15249517186129113,-0.00721744969398265,0.051258786525329975
logistic_regression,逻辑回归,2022-06-30,4260,20,-0.10123638533596116,-0.09980747704,-0.10119615499127416,-0.09976718273469828,-0.09401893564197851,-0.15249517186129113,-0.00721744969398265,0.051258786525329975
random_forest,随机森林,2022-06-30,4260,20,-0.04250361029908363,-0.040981325115,-0.04247950766516933,-0.040957184161272794,-0.09401893564197851,-0.15249517186129113,0.05151532534289488,0.1099915615622075
