model,split,auc,accuracy,precision,recall,f1,positive_rate,n_samples,tp,fp,tn,fn
linear_regression,valid,0.6093333801717231,0.5566888045540797,0.5865921787709497,0.10875194199896426,0.1834862385321101,0.45801707779886147,4216,210,148,2137,1721
linear_regression,test,0.5687817919075144,0.7730046948356808,0.2853470437017995,0.13875,0.18671152228763668,0.18779342723004694,4260,111,278,3182,689
logistic_regression,valid,0.6093725884367347,0.556214421252372,0.5828729281767956,0.10926980838943552,0.1840383776711731,0.45801707779886147,4216,211,151,2134,1720
logistic_regression,test,0.5688887283236994,0.7725352112676056,0.28498727735368956,0.14,0.1877619446772842,0.18779342723004694,4260,112,281,3179,688
decision_tree,valid,0.4992858656471007,0.530360531309298,0.47695202257761055,0.262558259968928,0.33867735470941884,0.45801707779886147,4216,507,556,1729,1424
decision_tree,test,0.5228222543352601,0.6734741784037559,0.21282798833819241,0.27375,0.2394751230180426,0.18779342723004694,4260,219,810,2650,581
random_forest,valid,0.5357432062615373,0.5574003795066413,0.6199261992619927,0.08700155359917142,0.15258855585831063,0.45801707779886147,4216,168,103,2182,1763
random_forest,test,0.5496042268786128,0.788262910798122,0.2702702702702703,0.075,0.11741682974559686,0.18779342723004694,4260,60,162,3298,740
