model,model_label,quarters,strategy_return,equal_weight_return,hs300_return,excess_equal,excess_hs300,annual_return,annual_volatility,max_drawdown,sharpe,quarter_win_rate,excess_equal_win_rate,excess_hs300_win_rate,avg_quarter_return,best_quarter_return,worst_quarter_return
decision_tree,决策树,1,-0.008447615307354717,-0.0940189356419785,-0.15249517186129113,0.08557132033462378,0.14404755655393642,-0.03336469427236877,0.0,0.0,0.0,0.0,1.0,1.0,-0.008447615307354767,-0.008447615307354767,-0.008447615307354767
linear_regression,线性回归,1,-0.10123638533596113,-0.0940189356419785,-0.15249517186129113,-0.007217449693982636,0.05125878652533,-0.34749787720864467,0.0,0.0,0.0,0.0,0.0,1.0,-0.10123638533596116,-0.10123638533596116,-0.10123638533596116
logistic_regression,逻辑回归,1,-0.10123638533596113,-0.0940189356419785,-0.15249517186129113,-0.007217449693982636,0.05125878652533,-0.34749787720864467,0.0,0.0,0.0,0.0,0.0,1.0,-0.10123638533596116,-0.10123638533596116,-0.10123638533596116
random_forest,随机森林,1,-0.04250361029908367,-0.0940189356419785,-0.15249517186129113,0.051515325342894824,0.10999156156220746,-0.15947897697768554,0.0,0.0,0.0,0.0,1.0,1.0,-0.04250361029908363,-0.04250361029908363,-0.04250361029908363
