Date,Code,ts_code,buy_date,sell_date,gross_return,net_return,future_return,target_up,hs300_return,model,model_label,split,score,pred_label,rank,score_percentile,prediction_weight
2022-06-30,300252,300252.SZ,20220701,20220930,-0.0941935484,-0.09563136788884719,-0.0941935484,0,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,1,0.9981220657276996,0.050018821757952185
2022-06-30,300029,300029.SZ,20220701,20220930,0.2249614792,0.22301705334084465,0.2249614792,1,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,2,0.9981220657276996,0.050018821757952185
2022-06-30,002668,002668.SZ,20220701,20220930,0.0077220077,0.0061224139463322835,0.0077220077,1,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,3,0.9981220657276996,0.050018821757952185
2022-06-30,002624,002624.SZ,20220701,20220930,-0.1375,-0.13886907758488598,-0.1375,0,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,4,0.9981220657276996,0.050018821757952185
2022-06-30,002580,002580.SZ,20220701,20220930,0.0686746988,0.06697835262531959,0.0686746988,1,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,5,0.9981220657276996,0.050018821757952185
2022-06-30,600520,600520.SH,20220701,20220930,0.1638225256,0.16197514782309064,0.1638225256,1,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,6,0.9981220657276996,0.050018821757952185
2022-06-30,603929,603929.SH,20220701,20220930,-0.0435992579,-0.04511738754426364,-0.0435992579,0,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,7,0.9981220657276996,0.050018821757952185
2022-06-30,002125,002125.SZ,20220701,20220930,-0.0508574808,-0.05236408920336111,-0.0508574808,0,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,8,0.9981220657276996,0.050018821757952185
2022-06-30,002102,002102.SZ,20220701,20220930,-0.1394658754,-0.14083183247944275,-0.1394658754,0,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,9,0.9981220657276996,0.050018821757952185
2022-06-30,002069,002069.SZ,20220701,20220930,-0.0619946092,-0.06348353923483663,-0.0619946092,0,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,10,0.9981220657276996,0.050018821757952185
2022-06-30,000034,000034.SZ,20220701,20220930,0.0435914118,0.04193488123805822,0.0435914118,1,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,11,0.9981220657276996,0.050018821757952185
2022-06-30,002337,002337.SZ,20220701,20220930,0.1911421911,0.18925144782551073,0.1911421911,1,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,12,0.9981220657276996,0.050018821757952185
2022-06-30,600371,600371.SH,20220701,20220930,-0.152238806,-0.1535844881426569,-0.152238806,0,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,13,0.9981220657276996,0.050018821757952185
2022-06-30,603000,603000.SH,20220701,20220930,-0.0871555166,-0.08860450781241713,-0.0871555166,0,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,14,0.9981220657276996,0.050018821757952185
2022-06-30,300793,300793.SZ,20220701,20220930,-0.1655969191,-0.1669213974244289,-0.1655969191,0,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,15,0.9981220657276996,0.050018821757952185
2022-06-30,600083,600083.SH,20220701,20220930,-0.170984456,-0.1723003824913768,-0.170984456,0,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,16,0.9981220657276996,0.050018821757952185
2022-06-30,300819,300819.SZ,20220701,20220930,0.0019946809,0.0004041783402373156,0.0019946809,1,-0.15249517186129113,decision_tree,决策树,test,0.6447368421052632,1,17,0.9981220657276996,0.050018821757952185
2022-06-30,000702,000702.SZ,20220701,20220930,0.0733944954,0.07169065732070479,0.0733944954,1,-0.15249517186129113,decision_tree,决策树,test,0.6130841121495327,1,18,0.9958920187793427,0.04990706757011104
2022-06-30,603637,603637.SH,20220701,20220930,-0.0791027155,-0.08056448921616388,-0.0791027155,0,-0.15249517186129113,decision_tree,决策树,test,0.6130841121495327,1,19,0.9958920187793427,0.04990706757011104
2022-06-30,300338,300338.SZ,20220701,20220930,0.2699619772,0.2679461204154874,0.2699619772,1,-0.15249517186129113,decision_tree,决策树,test,0.5478260869565217,1,20,0.9950704225352113,0.04986589497459062
2022-06-30,600545,600545.SH,20220701,20220930,-0.2519280206,-0.25311546243058314,-0.2519280206,0,-0.15249517186129113,linear_regression,线性回归,test,0.664250364762235,1,1,1.0,0.05011175155864017
2022-06-30,603031,603031.SH,20220701,20220930,0.0251016017,0.023474420685370312,0.0251016017,1,-0.15249517186129113,linear_regression,线性回归,test,0.65811437762974,1,2,0.9997652582159624,0.05009998823667804
2022-06-30,300533,300533.SZ,20220701,20220930,0.0003824092,-0.0012055341423188315,0.0003824092,1,-0.15249517186129113,linear_regression,线性回归,test,0.6331998383705011,1,3,0.9995305164319249,0.05008822491471593
2022-06-30,002432,002432.SZ,20220701,20220930,-0.277666999,-0.27881358441506376,-0.277666999,0,-0.15249517186129113,linear_regression,线性回归,test,0.632331084689643,1,4,0.9992957746478873,0.0500764615927538
2022-06-30,600860,600860.SH,20220701,20220930,-0.2573932092,-0.2585719759381663,-0.2573932092,0,-0.15249517186129113,linear_regression,线性回归,test,0.6300263185818672,1,5,0.9990610328638497,0.05006469827079168
2022-06-30,002466,002466.SZ,20220701,20220930,-0.1890145396,-0.1903018462846402,-0.1890145396,0,-0.15249517186129113,linear_regression,线性回归,test,0.620871153459065,1,6,0.9988262910798122,0.05005293494882956
2022-06-30,002667,002667.SZ,20220701,20220930,0.2578165044,0.25581992656571173,0.2578165044,1,-0.15249517186129113,linear_regression,线性回归,test,0.619812727336853,1,7,0.9985915492957746,0.050041171626867435
2022-06-30,002562,002562.SZ,20220701,20220930,-0.1738461538,-0.1751575378144925,-0.1738461538,0,-0.15249517186129113,linear_regression,线性回归,test,0.6052430477164656,1,8,0.998356807511737,0.050029408304905314
2022-06-30,000893,000893.SZ,20220701,20220930,-0.1518142235,-0.15316057959788432,-0.1518142235,0,-0.15249517186129113,linear_regression,线性回归,test,0.6008628526391537,1,9,0.9981220657276996,0.05001764498294319
2022-06-30,002446,002446.SZ,20220701,20220930,0.13371266,0.13191307670665808,0.13371266,1,-0.15249517186129113,linear_regression,线性回归,test,0.6006662417231552,1,10,0.997887323943662,0.05000588166098107
2022-06-30,600078,600078.SH,20220701,20220930,0.0772646536,0.07555467227798984,0.0772646536,1,-0.15249517186129113,linear_regression,线性回归,test,0.5985340047188993,1,11,0.9976525821596244,0.04999411833901895
2022-06-30,002586,002586.SZ,20220701,20220930,-0.1765957447,-0.17790276418896334,-0.1765957447,0,-0.15249517186129113,linear_regression,线性回归,test,0.5982163232651324,1,12,0.9974178403755869,0.04998235501705683
2022-06-30,300654,300654.SZ,20220701,20220930,0.204379562,0.20246780656576346,0.204379562,1,-0.15249517186129113,linear_regression,线性回归,test,0.5935973915332015,1,13,0.9971830985915493,0.049970591695094706
2022-06-30,603586,603586.SH,20220701,20220930,0.0387596899,0.037110828905768,0.0387596899,1,-0.15249517186129113,linear_regression,线性回归,test,0.5934917053646674,1,14,0.9969483568075117,0.04995882837313258
2022-06-30,603001,603001.SH,20220701,20220930,-0.1307277628,-0.13210759020303098,-0.1307277628,0,-0.15249517186129113,linear_regression,线性回归,test,0.5933394048165268,1,15,0.9967136150234742,0.04994706505117046
2022-06-30,002192,002192.SZ,20220701,20220930,-0.2604467806,-0.26162070029334583,-0.2604467806,0,-0.15249517186129113,linear_regression,线性回归,test,0.5901880629948927,1,16,0.9964788732394366,0.049935301729208334
2022-06-30,000798,000798.SZ,20220701,20220930,0.0043057051,0.0027115341675645332,0.0043057051,1,-0.15249517186129113,linear_regression,线性回归,test,0.5900692318623202,1,17,0.996244131455399,0.04992353840724621
2022-06-30,300149,300149.SZ,20220701,20220930,-0.1524822695,-0.15382756518419827,-0.1524822695,0,-0.15249517186129113,linear_regression,线性回归,test,0.5882716137768458,1,18,0.9960093896713615,0.0499117750852841
2022-06-30,000707,000707.SZ,20220701,20220930,-0.471250741,-0.47209004390843134,-0.471250741,0,-0.15249517186129113,linear_regression,线性回归,test,0.5871209636000801,1,19,0.995774647887324,0.04990001176332197
2022-06-30,000762,000762.SZ,20220701,20220930,-0.2447058824,-0.24590478819293038,-0.2447058824,0,-0.15249517186129113,linear_regression,线性回归,test,0.5817704697523759,1,20,0.9955399061032864,0.04988824844135985
2022-06-30,600545,600545.SH,20220701,20220930,-0.2519280206,-0.25311546243058314,-0.2519280206,0,-0.15249517186129113,logistic_regression,逻辑回归,test,0.6592720822009674,1,1,1.0,0.05011175155864017
2022-06-30,603031,603031.SH,20220701,20220930,0.0251016017,0.023474420685370312,0.0251016017,1,-0.15249517186129113,logistic_regression,逻辑回归,test,0.6561171582022209,1,2,0.9997652582159624,0.05009998823667804
2022-06-30,300533,300533.SZ,20220701,20220930,0.0003824092,-0.0012055341423188315,0.0003824092,1,-0.15249517186129113,logistic_regression,逻辑回归,test,0.6328180203336593,1,3,0.9995305164319249,0.05008822491471593
2022-06-30,002432,002432.SZ,20220701,20220930,-0.277666999,-0.27881358441506376,-0.277666999,0,-0.15249517186129113,logistic_regression,逻辑回归,test,0.6321300716826829,1,4,0.9992957746478873,0.0500764615927538
2022-06-30,600860,600860.SH,20220701,20220930,-0.2573932092,-0.2585719759381663,-0.2573932092,0,-0.15249517186129113,logistic_regression,逻辑回归,test,0.6302604205288086,1,5,0.9990610328638497,0.05006469827079168
2022-06-30,002466,002466.SZ,20220701,20220930,-0.1890145396,-0.1903018462846402,-0.1890145396,0,-0.15249517186129113,logistic_regression,逻辑回归,test,0.6211761524811804,1,6,0.9988262910798122,0.05005293494882956
2022-06-30,002667,002667.SZ,20220701,20220930,0.2578165044,0.25581992656571173,0.2578165044,1,-0.15249517186129113,logistic_regression,逻辑回归,test,0.6206594321401022,1,7,0.9985915492957746,0.050041171626867435
2022-06-30,002562,002562.SZ,20220701,20220930,-0.1738461538,-0.1751575378144925,-0.1738461538,0,-0.15249517186129113,logistic_regression,逻辑回归,test,0.6059107265924633,1,8,0.998356807511737,0.050029408304905314
2022-06-30,002446,002446.SZ,20220701,20220930,0.13371266,0.13191307670665808,0.13371266,1,-0.15249517186129113,logistic_regression,逻辑回归,test,0.6001586562324455,1,9,0.9981220657276996,0.05001764498294319
2022-06-30,600078,600078.SH,20220701,20220930,0.0772646536,0.07555467227798984,0.0772646536,1,-0.15249517186129113,logistic_regression,逻辑回归,test,0.5997913563173602,1,10,0.997887323943662,0.05000588166098107
2022-06-30,002586,002586.SZ,20220701,20220930,-0.1765957447,-0.17790276418896334,-0.1765957447,0,-0.15249517186129113,logistic_regression,逻辑回归,test,0.5980758250268605,1,11,0.9976525821596244,0.04999411833901895
2022-06-30,000893,000893.SZ,20220701,20220930,-0.1518142235,-0.15316057959788432,-0.1518142235,0,-0.15249517186129113,logistic_regression,逻辑回归,test,0.5965733002316944,1,12,0.9974178403755869,0.04998235501705683
2022-06-30,300654,300654.SZ,20220701,20220930,0.204379562,0.20246780656576346,0.204379562,1,-0.15249517186129113,logistic_regression,逻辑回归,test,0.5947542919775453,1,13,0.9971830985915493,0.049970591695094706
2022-06-30,603001,603001.SH,20220701,20220930,-0.1307277628,-0.13210759020303098,-0.1307277628,0,-0.15249517186129113,logistic_regression,逻辑回归,test,0.5947101686183232,1,14,0.9969483568075117,0.04995882837313258
2022-06-30,603586,603586.SH,20220701,20220930,0.0387596899,0.037110828905768,0.0387596899,1,-0.15249517186129113,logistic_regression,逻辑回归,test,0.594114605260204,1,15,0.9967136150234742,0.04994706505117046
2022-06-30,002192,002192.SZ,20220701,20220930,-0.2604467806,-0.26162070029334583,-0.2604467806,0,-0.15249517186129113,logistic_regression,逻辑回归,test,0.5911558362964602,1,16,0.9964788732394366,0.049935301729208334
