strategy,model,model_label,scheme,strategy_label,quarters,strategy_return,equal_weight_return,hs300_return,excess_equal,excess_hs300,annual_return,annual_volatility,max_drawdown,sharpe,avg_quarter_return
decision_tree__equal_weight,decision_tree,决策树,equal_weight,决策树 · Top20 等资金,1,-0.008447615307354717,-0.0940189356419785,-0.15249517186129113,0.08557132033462378,0.14404755655393642,-0.03336469427236877,0.0,0.0,0.0,-0.008447615307354767
decision_tree__prediction_weighted,decision_tree,决策树,prediction_weighted,决策树 · Top20 预测值加权,1,-0.008490779737199361,-0.0940189356419785,-0.15249517186129113,0.08552815590477914,0.14400439212409177,-0.03353300222277422,0.0,0.0,0.0,-0.00849077973719937
linear_regression__equal_weight,linear_regression,线性回归,equal_weight,线性回归 · Top20 等资金,1,-0.10123638533596113,-0.0940189356419785,-0.15249517186129113,-0.007217449693982636,0.05125878652533,-0.34749787720864467,0.0,0.0,0.0,-0.10123638533596116
linear_regression__prediction_weighted,linear_regression,线性回归,prediction_weighted,线性回归 · Top20 预测值加权,1,-0.10119991723459232,-0.0940189356419785,-0.15249517186129113,-0.007180981592613822,0.051295254626698816,-0.3473919674388535,0.0,0.0,0.0,-0.10119991723459237
logistic_regression__equal_weight,logistic_regression,逻辑回归,equal_weight,逻辑回归 · Top20 等资金,1,-0.10123638533596113,-0.0940189356419785,-0.15249517186129113,-0.007217449693982636,0.05125878652533,-0.34749787720864467,0.0,0.0,0.0,-0.10123638533596116
logistic_regression__prediction_weighted,logistic_regression,逻辑回归,prediction_weighted,逻辑回归 · Top20 预测值加权,1,-0.1011961549912741,-0.0940189356419785,-0.15249517186129113,-0.007177219349295605,0.051299016870017033,-0.34738104049003304,0.0,0.0,0.0,-0.10119615499127416
random_forest__equal_weight,random_forest,随机森林,equal_weight,随机森林 · Top20 等资金,1,-0.04250361029908367,-0.0940189356419785,-0.15249517186129113,0.051515325342894824,0.10999156156220746,-0.15947897697768554,0.0,0.0,0.0,-0.04250361029908363
random_forest__prediction_weighted,random_forest,随机森林,prediction_weighted,随机森林 · Top20 预测值加权,1,-0.04247950766516928,-0.0940189356419785,-0.15249517186129113,0.051539427976809216,0.11001566419612185,-0.15939434152341692,0.0,0.0,0.0,-0.04247950766516933
