ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300308.SZ,20240710,154.0,157.97,152.58,157.53,154.33,3.2,2.0735,236344.59,3673033.725
300308.SZ,20240711,159.21,159.68,149.3,153.26,157.53,-4.27,-2.7106,290842.56,4476813.445
300308.SZ,20240712,148.11,150.97,146.0,150.12,153.26,-3.14,-2.0488,200312.26,2976010.774
300308.SZ,20240715,148.0,151.37,145.3,149.58,150.12,-0.54,-0.3597,179397.47,2664238.646
300308.SZ,20240716,149.68,150.48,143.8,148.12,149.58,-1.46,-0.9761,252086.46,3698321.624
300308.SZ,20240717,146.98,147.47,140.43,141.71,148.12,-6.41,-4.3276,289922.86,4145866.195
300308.SZ,20240718,136.01,140.51,133.25,140.0,141.71,-1.71,-1.2067,337908.52,4619009.629
300308.SZ,20240719,137.2,139.3,134.96,134.98,140.0,-5.02,-3.5857,224671.07,3063009.879
300308.SZ,20240722,134.0,136.5,132.14,134.6,134.98,-0.38,-0.2815,206271.3,2777150.119
300308.SZ,20240723,137.0,137.08,130.9,130.92,134.6,-3.68,-2.734,202717.51,2707670.56
300308.SZ,20240724,129.51,135.5,129.19,130.34,130.92,-0.58,-0.443,221288.89,2916400.939
300308.SZ,20240725,126.7,127.38,120.85,122.27,130.34,-8.07,-6.1915,343553.6,4246699.227
300308.SZ,20240726,122.71,125.8,121.07,124.25,122.27,1.98,1.6194,224745.01,2778076.04
300308.SZ,20240729,123.99,131.31,123.16,129.59,124.25,5.34,4.2978,269963.45,3466688.556
300308.SZ,20240730,128.0,129.48,125.68,127.66,129.59,-1.93,-1.4893,158538.69,2022304.842
300308.SZ,20240731,126.38,130.0,123.1,129.5,127.66,1.84,1.4413,281326.75,3589623.01
300308.SZ,20240801,134.5,135.45,129.51,129.9,129.5,0.4,0.3089,279792.15,3706785.027
300308.SZ,20240802,122.38,124.22,118.68,118.98,129.9,-10.92,-8.4065,379676.25,4584955.95
300308.SZ,20240805,113.04,116.8,108.99,110.12,118.98,-8.86,-7.4466,470589.02,5309927.855
300308.SZ,20240806,114.9,117.24,112.92,114.48,110.12,4.36,3.9593,333817.85,3824830.262
300308.SZ,20240807,113.0,116.0,112.0,113.32,114.48,-1.16,-1.0133,206352.59,2351788.735
300308.SZ,20240808,110.0,112.29,109.0,110.5,113.32,-2.82,-2.4885,204451.52,2259430.351
300308.SZ,20240809,113.0,115.0,112.28,112.53,110.5,2.03,1.8371,255182.05,2902018.841
300308.SZ,20240812,112.35,115.4,112.35,113.35,112.53,0.82,0.7287,175289.98,1998402.06
300308.SZ,20240813,115.0,118.49,114.1,116.94,113.35,3.59,3.1672,254796.47,2963496.085
300308.SZ,20240814,120.02,120.5,115.78,115.78,116.94,-1.16,-0.992,206354.83,2433217.393
300308.SZ,20240815,115.76,116.92,113.8,115.1,115.78,-0.68,-0.5873,149762.5,1726995.552
300308.SZ,20240816,118.2,121.89,118.2,119.96,115.1,4.86,4.2224,275062.93,3304747.086
300308.SZ,20240819,121.2,123.65,119.45,121.64,119.96,1.68,1.4005,187253.66,2286153.026
300308.SZ,20240820,123.99,125.18,121.25,121.69,121.64,0.05,0.0411,169605.35,2085883.211
300308.SZ,20240821,120.2,123.77,120.0,122.22,121.69,0.53,0.4355,133814.97,1634151.027
300308.SZ,20240822,122.46,123.27,120.47,121.39,122.22,-0.83,-0.6791,106734.65,1302086.378
