ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
001309.SZ,20240704,93.5,94.77,91.35,91.62,94.0,-2.38,-2.5319,54289.39,503134.972
001309.SZ,20240705,91.0,91.99,87.98,91.01,91.62,-0.61,-0.6658,57508.74,517306.558
001309.SZ,20240708,92.1,94.68,91.11,93.0,91.01,1.99,2.1866,64389.16,600166.073
001309.SZ,20240709,92.6,99.5,91.8,99.48,93.0,6.48,6.9677,99195.86,955517.661
001309.SZ,20240710,97.0,100.94,96.0,99.98,99.48,0.5,0.5026,109592.67,1078312.538
001309.SZ,20240711,101.9,102.28,96.94,98.71,99.98,-1.27,-1.2703,88789.16,884239.714
001309.SZ,20240712,96.99,97.87,94.85,97.32,98.71,-1.39,-1.4082,63721.54,613305.446
001309.SZ,20240715,96.9,98.49,92.33,93.1,97.32,-4.22,-4.3362,66807.41,637049.523
001309.SZ,20240716,93.0,93.39,88.5,92.56,93.1,-0.54,-0.58,86867.52,793078.059
001309.SZ,20240717,91.1,92.18,89.26,89.51,92.56,-3.05,-3.2952,54895.55,498740.905
001309.SZ,20240718,87.49,88.88,83.68,86.92,89.51,-2.59,-2.8935,84310.42,724899.0
001309.SZ,20240719,85.71,89.42,85.5,87.19,86.92,0.27,0.3106,59280.46,521242.055
001309.SZ,20240722,86.86,88.52,86.5,87.63,87.19,0.44,0.5046,42462.31,372626.936
001309.SZ,20240723,87.2,87.48,83.15,83.19,87.63,-4.44,-5.0668,53850.8,457950.881
001309.SZ,20240724,83.19,84.29,81.3,81.4,83.19,-1.79,-2.1517,43232.2,358431.216
001309.SZ,20240725,80.5,80.88,76.5,76.75,81.4,-4.65,-5.7125,69063.02,540939.24
001309.SZ,20240726,76.47,77.47,75.66,77.11,76.75,0.36,0.4691,53797.78,412208.756
001309.SZ,20240729,76.8,78.0,75.41,75.58,77.11,-1.53,-1.9842,42351.6,323376.059
001309.SZ,20240730,74.99,75.31,72.88,74.81,75.58,-0.77,-1.0188,45234.97,335219.134
001309.SZ,20240731,74.0,79.1,73.6,78.82,74.81,4.01,5.3602,61966.18,477534.924
001309.SZ,20240801,78.95,80.33,78.51,79.32,78.82,0.5,0.6344,53731.22,427065.521
001309.SZ,20240802,77.6,78.29,75.01,75.3,79.32,-4.02,-5.0681,50101.82,383859.7
001309.SZ,20240805,73.88,75.35,70.85,70.89,75.3,-4.41,-5.8566,54738.42,399441.331
001309.SZ,20240806,73.01,73.5,70.73,71.9,70.89,1.01,1.4247,34571.29,247591.124
001309.SZ,20240807,71.59,72.1,70.01,70.59,71.9,-1.31,-1.822,31048.78,220597.655
001309.SZ,20240808,70.0,71.46,68.89,71.01,70.59,0.42,0.595,35977.86,252553.114
001309.SZ,20240809,72.03,72.9,71.1,71.19,71.01,0.18,0.2535,34982.15,251469.899
001309.SZ,20240812,70.5,71.65,70.0,70.74,71.19,-0.45,-0.6321,23033.32,162988.027
001309.SZ,20240813,71.1,72.13,70.7,71.87,70.74,1.13,1.5974,28822.82,206020.183
001309.SZ,20240814,72.99,73.3,70.88,71.03,71.87,-0.84,-1.1688,29103.6,208696.157
001309.SZ,20240815,70.31,72.65,70.1,71.74,71.03,0.71,0.9996,34406.88,247032.847
001309.SZ,20240816,72.47,73.03,71.56,72.72,71.74,0.98,1.366,35734.7,259185.244
001309.SZ,20240819,72.25,74.58,71.92,72.51,72.72,-0.21,-0.2888,39057.24,285781.734
001309.SZ,20240820,72.5,73.19,71.33,71.9,72.51,-0.61,-0.8413,28613.07,206477.868
001309.SZ,20240821,71.4,72.4,70.51,70.61,71.9,-1.29,-1.7942,26587.14,189532.584
001309.SZ,20240822,70.71,71.67,69.4,71.38,70.61,0.77,1.0905,30678.44,216712.873
001309.SZ,20240823,71.0,71.62,69.5,70.3,71.38,-1.08,-1.513,28155.14,197892.572
001309.SZ,20240826,70.3,71.28,69.0,69.82,70.3,-0.48,-0.6828,29424.0,206154.756
001309.SZ,20240827,69.79,72.28,69.01,70.82,69.82,1.0,1.4323,44782.6,318774.23
001309.SZ,20240828,70.6,73.26,70.58,70.95,70.82,0.13,0.1836,37699.9,269830.537
001309.SZ,20240829,70.3,72.49,69.52,72.19,70.95,1.24,1.7477,37769.32,269294.305
001309.SZ,20240830,71.96,75.5,71.96,75.35,72.19,3.16,4.3773,64189.6,476183.481
001309.SZ,20240902,74.0,74.67,70.0,70.04,75.35,-5.31,-7.0471,72266.69,520215.702
001309.SZ,20240903,69.99,71.0,69.39,70.58,70.04,0.54,0.771,28382.22,199704.189
001309.SZ,20240904,69.06,69.47,66.5,67.65,70.58,-2.93,-4.1513,45890.52,312014.212
001309.SZ,20240905,67.7,69.3,67.7,68.2,67.65,0.55,0.813,26580.48,182018.518
001309.SZ,20240906,68.14,68.14,65.82,65.83,68.2,-2.37,-3.4751,32222.13,215026.571
001309.SZ,20240909,65.42,66.36,65.27,66.07,65.83,0.24,0.3646,22638.16,149023.901
001309.SZ,20240910,66.05,67.33,65.61,66.95,66.07,0.88,1.3319,23158.2,154014.008
001309.SZ,20240911,66.61,66.77,65.3,65.7,66.95,-1.25,-1.8671,22551.62,148715.517
001309.SZ,20240912,66.0,66.5,64.89,65.05,65.7,-0.65,-0.9893,17617.84,115663.851
001309.SZ,20240913,64.82,65.42,63.86,63.9,65.05,-1.15,-1.7679,23029.08,148727.955
001309.SZ,20240918,63.9,64.4,62.38,63.49,63.9,-0.41,-0.6416,20686.8,130728.601
001309.SZ,20240919,63.6,65.0,62.93,64.0,63.49,0.51,0.8033,25111.13,160856.427
001309.SZ,20240920,64.1,64.6,63.01,63.58,64.0,-0.42,-0.6563,21263.27,135155.78
001309.SZ,20240923,63.41,64.32,62.51,62.51,63.58,-1.07,-1.6829,21142.34,133605.487
001309.SZ,20240924,62.62,66.5,61.99,66.5,62.51,3.99,6.383,54075.57,349526.004
001309.SZ,20240925,67.1,68.88,66.3,66.3,66.5,-0.2,-0.3008,55863.49,378294.915
001309.SZ,20240926,67.4,69.99,66.8,69.99,66.3,3.69,5.5656,60462.17,412595.85
001309.SZ,20240927,70.88,75.5,70.03,75.23,69.99,5.24,7.4868,81696.99,594718.065
