ts_code,trade_date,open,close
000300.SH,20210701,5241.2001953125,5229.66015625
000300.SH,20210930,4843.9501953125,4866.3798828125
000300.SH,20211008,4915.72998046875,4929.93994140625
000300.SH,20211231,4937.4599609375,4940.3701171875
000300.SH,20220104,4957.97998046875,4917.77001953125
000300.SH,20220331,4234.72021484375,4222.60009765625
000300.SH,20220401,4198.81982421875,4276.16015625
000300.SH,20220630,4418.06982421875,4485.009765625
000300.SH,20220701,4489.52001953125,4466.72021484375
000300.SH,20220930,3833.35009765625,3804.889892578125
