Date,Code,企业倍数(EV除EBITDA),市净率PB(MRQ),市现率PCF(现金净流量TTM),市现率PCF(经营现金流TTM),市盈率PE(TTM),"市盈率PE(TTM,扣除非经常性损益)",市销率PS(TTM),股息率(近12个月),MV,净利润同比增长率,净资产同比增长率,利润总额(同比增长率),基本每股收益(同比增长率),总资产同比增长率,现金净流量同比增长率,营业利润(同比增长率),营业总收入(同比增长率),Y
2021-06-30,000001,178.0312647564615,1.45028419990802,4.15876579284668,-9.604662049296545,14.38653182983398,14.41819246637412,2.788759304966837,0.7957559681697612,4389.6186963876,28.5494955402837,7.34098469821882,27.0313,21.21212121212121,13.0401361980098,3.06501048556219,26.9324,8.1095,False
2021-06-30,000002,4.08726311293488,1.225559614851255,12.78905868530273,3.788184158764766,6.656120777130127,6.850768834567907,0.6379550066334498,4.269689626207477,2698.195472054254,-13.181866533638,13.4179005401992,-16.5199,-14.41441441441443,8.24164357856048,-95.3402845321708,-17.2279,14.1862,False
2021-06-30,000004,43.45185870875753,2.096619171838706,46.7484130859375,1845.349234002567,47.05181884765625,48.21101987472693,10.42641738550908,0.6806406584319531,30.6337672,193.215435771758,4.88515515862468,93.9522,136.5384615384616,5.09330397743008,-3.49871656033749,92.2387,73.9161,True
2021-06-30,000005,-6.016503472054576,1.594175553307721,-140.760009765625,33.43726781899823,-5.557283401489258,-4.482083738448999,4.95802206752094,0.9879823168566295,19.9004926296,673.411427808127,-11.424587147908,701.184,700.6578947368422,-18.2486359061791,48.8897792957116,120.7927,22.7985,True
2021-06-30,000006,8.85682712511532,0.8859891832879143,7.312974452972412,17.33933502837675,6.722732543945312,7.026850691437423,2.113050677301507,3.852295409181637,67.6347518046,75.1858696888369,11.5478723504725,65.4533,78.46058348851645,25.34146554214,-14.2329787927111,60.063,22.6193,False
2021-06-30,000007,-11.7055073163559,22.53635937280059,30.80702972412109,94.1199660237517,-14.04265880584717,160.4832776269425,28.74441718645411,1.272895651749856,14.2390146084,90.0565635557011,-65.3624102295752,94.1318,92.32558139534885,-17.1281637906632,172.522511338974,93.8106,157.8716,True
2021-06-30,000008,-15.54599964511484,0.9556720157882741,-30.1700325012207,9.002410015042127,-7.077587127685547,-6.85934584566038,3.169918074964201,0.4265654175715807,61.73365668120001,49.4414938951777,-10.3348824695314,52.7827,52.22319093286835,7.41990521373823,25.3006233678318,53.0168,23.9947,True
2021-06-30,000009,20.92272484152888,6.652451669391222,206.1059875488281,60.37059886519951,58.04359436035156,-1044.23397200265,3.715967245814154,0.1094690749863164,471.2223914054999,225.557430564131,32.3074152012621,195.1258,402.4761904761904,11.5107467376427,226.558936794851,190.4763,100.6007,True
2021-06-30,000010,16.58854565569582,6.645507281289622,216.7562713623047,-14.50611860679522,61.74634552001953,329.9950380981932,2.093686172738835,0.9879823168566295,32.79418852,-22.8286588618226,9.26155322563272,-25.8871,-10.18518518518519,-17.8306363179295,-136.235274089967,-41.413,1.7503,False
2021-06-30,000011,4.543957582497568,1.838401920760634,9.654853820800781,6.722617579441724,8.4172945022583,8.588953271478514,1.75311065228973,3.371710526315789,67.59731178882868,275.92100062005,32.2059968122067,222.8608,219.0610064661231,21.3249269106817,442.441674123763,222.1161,78.7985,False
