model,split,auc,accuracy,precision,recall,f1,positive_rate,n_samples,tp,fp,tn,fn
linear_regression,valid,0.5191842980241693,0.6634569090033703,0.35023041474654376,0.05701425356339085,0.09806451612903226,0.3208955223880597,4154,76,141,2680,1257
linear_regression,test,0.5251005518314137,0.7651588065447545,0.24550898203592814,0.10173697270471464,0.143859649122807,0.19393647738209818,2078,41,126,1549,362
logistic_regression,valid,0.5151490814922802,0.6620125180548868,0.34763948497854075,0.060765191297824456,0.10344827586206895,0.3208955223880597,4154,81,152,2669,1252
logistic_regression,test,0.5283478389689271,0.7637151106833494,0.25280898876404495,0.11166253101736973,0.1549053356282272,0.19393647738209818,2078,45,133,1542,358
decision_tree,valid,0.5647014819993549,0.5991815117958594,0.3684627575277338,0.3488372093023256,0.3583815028901734,0.3208955223880597,4154,465,797,2024,868
decision_tree,test,0.5976867523425058,0.6342637151106834,0.2496493688639551,0.44168734491315137,0.3189964157706093,0.19393647738209818,2078,178,535,1140,225
random_forest,valid,0.584651923349501,0.6475686085700529,0.431413612565445,0.3090772693173293,0.36013986013986016,0.3208955223880597,4154,412,543,2278,921
random_forest,test,0.6302514721676975,0.7256977863330125,0.33659491193737767,0.4267990074441687,0.37636761487964987,0.19393647738209818,2078,172,339,1336,231
