model,feature,importance,raw_value
linear_regression,企业倍数(EV除EBITDA),0.008781137385677993,0.001033846142919695
linear_regression,市净率PB(MRQ),0.07400907271206736,-0.008713449181335911
linear_regression,市现率PCF(现金净流量TTM),0.06939591109906959,-0.00817031915947318
linear_regression,市现率PCF(经营现金流TTM),0.029805319747122354,0.0035091256981479853
linear_regression,市盈率PE(TTM),0.04384348757712599,0.005161907681536579
linear_regression,"市盈率PE(TTM,扣除非经常性损益)",0.025993036373960266,0.003060286978520528
linear_regression,市销率PS(TTM),0.028657416374647186,-0.0033739774340958185
linear_regression,股息率(近12个月),0.16342678678461647,0.019241032880615818
linear_regression,MV,0.2032244000195365,-0.023926600038173176
linear_regression,净利润同比增长率,0.002271377391913162,0.0002674203411934329
linear_regression,净资产同比增长率,0.013889501915342307,0.001635278819993505
linear_regression,利润总额(同比增长率),0.08627988488034352,0.010158151760680065
linear_regression,基本每股收益(同比增长率),0.09087758342614298,0.010699461240205451
linear_regression,总资产同比增长率,0.11628660622765877,-0.01369098945175016
linear_regression,现金净流量同比增长率,0.0012511625112746145,0.00014730546620950145
linear_regression,营业利润(同比增长率),0.03507233903276337,0.004129237573635192
linear_regression,营业总收入(同比增长率),0.006934976540737536,-0.0008164886202069706
logistic_regression,企业倍数(EV除EBITDA),0.005617143564382326,0.004258632435334677
logistic_regression,市净率PB(MRQ),0.27413501443944494,-0.20783521923052978
logistic_regression,市现率PCF(现金净流量TTM),0.06816075555842008,-0.05167601666416106
logistic_regression,市现率PCF(经营现金流TTM),0.019959952025893377,0.015132620010672747
logistic_regression,市盈率PE(TTM),0.061075520243044384,0.046304351763629785
logistic_regression,"市盈率PE(TTM,扣除非经常性损益)",0.012343480778522927,0.009358199057197888
logistic_regression,市销率PS(TTM),0.020865124795744844,-0.015818875947180056
logistic_regression,股息率(近12个月),0.10151558223730735,0.07696394906994343
logistic_regression,MV,0.16980046709991536,-0.12873407425651118
logistic_regression,净利润同比增长率,0.001206123990778398,-0.0009144218390168568
logistic_regression,净资产同比增长率,0.009020279427753946,0.006838716886353815
logistic_regression,利润总额(同比增长率),0.0844602948983803,0.0640334980278764
logistic_regression,基本每股收益(同比增长率),0.06589359489403285,0.049957170807577354
logistic_regression,总资产同比增长率,0.08461999561860466,-0.06415457498795381
logistic_regression,现金净流量同比增长率,0.0010592477282536385,0.0008030677302248284
logistic_regression,营业利润(同比增长率),0.017673138138015163,0.013398874080046377
logistic_regression,营业总收入(同比增长率),0.0025942845615054104,-0.0019668545504461957
decision_tree,企业倍数(EV除EBITDA),0.07142857142857142,2.0
decision_tree,市净率PB(MRQ),0.14285714285714285,4.0
decision_tree,市现率PCF(现金净流量TTM),0.0,0.0
decision_tree,市现率PCF(经营现金流TTM),0.03571428571428571,1.0
decision_tree,市盈率PE(TTM),0.03571428571428571,1.0
decision_tree,"市盈率PE(TTM,扣除非经常性损益)",0.03571428571428571,1.0
decision_tree,市销率PS(TTM),0.03571428571428571,1.0
decision_tree,股息率(近12个月),0.0,0.0
decision_tree,MV,0.32142857142857145,9.0
decision_tree,净利润同比增长率,0.0,0.0
decision_tree,净资产同比增长率,0.0,0.0
decision_tree,利润总额(同比增长率),0.03571428571428571,1.0
decision_tree,基本每股收益(同比增长率),0.10714285714285714,3.0
decision_tree,总资产同比增长率,0.03571428571428571,1.0
decision_tree,现金净流量同比增长率,0.03571428571428571,1.0
decision_tree,营业利润(同比增长率),0.07142857142857142,2.0
decision_tree,营业总收入(同比增长率),0.03571428571428571,1.0
random_forest,企业倍数(EV除EBITDA),0.06907216494845361,67.0
random_forest,市净率PB(MRQ),0.1154639175257732,112.0
random_forest,市现率PCF(现金净流量TTM),0.030927835051546393,30.0
random_forest,市现率PCF(经营现金流TTM),0.03608247422680412,35.0
random_forest,市盈率PE(TTM),0.05154639175257732,50.0
random_forest,"市盈率PE(TTM,扣除非经常性损益)",0.049484536082474224,48.0
random_forest,市销率PS(TTM),0.06288659793814433,61.0
random_forest,股息率(近12个月),0.03814432989690722,37.0
random_forest,MV,0.14123711340206185,137.0
random_forest,净利润同比增长率,0.060824742268041236,59.0
random_forest,净资产同比增长率,0.05154639175257732,50.0
random_forest,利润总额(同比增长率),0.050515463917525774,49.0
random_forest,基本每股收益(同比增长率),0.05979381443298969,58.0
random_forest,总资产同比增长率,0.031958762886597936,31.0
random_forest,现金净流量同比增长率,0.04845360824742268,47.0
random_forest,营业利润(同比增长率),0.06391752577319587,62.0
random_forest,营业总收入(同比增长率),0.03814432989690722,37.0
